
 symbol | ts                              | close  | high   | interest | low    | open   | volume
--------+---------------------------------+--------+--------+----------+--------+--------+--------
     GN | 2023-02-07 15:22:00.000000+0000 |  189.7 |  189.7 |        0 | 189.65 | 189.65 |   1398
     GN | 2023-02-07 15:23:00.000000+0000 | 189.65 | 189.65 |        0 | 189.65 | 189.65 |    126
     GN | 2023-02-07 15:24:00.000000+0000 | 189.85 | 189.85 |        0 | 189.75 |  189.8 |    475
     GN | 2023-02-07 15:25:00.000000+0000 | 189.95 | 189.95 |        0 | 189.85 |  189.9 |   1750
     GN | 2023-02-07 15:26:00.000000+0000 |  190.1 |  190.2 |        0 |  190.1 |  190.1 |   5736
     GN | 2023-02-07 15:27:00.000000+0000 |  190.1 |  190.3 |        0 |  190.1 |  190.2 |    436
     GN | 2023-02-07 15:28:00.000000+0000 |  189.9 |  190.1 |        0 |  189.9 | 189.95 |   1869
     GN | 2023-02-07 15:29:00.000000+0000 |  189.4 |  189.6 |        0 |  189.4 |  189.6 |    977
     GN | 2023-02-07 15:30:00.000000+0000 | 189.45 |  189.5 |        0 | 189.15 |  189.5 |   5927
     GN | 2023-02-07 15:31:00.000000+0000 |  189.5 |  189.5 |        0 | 189.35 | 189.45 |    937
     GN | 2023-02-07 15:33:00.000000+0000 |  189.5 |  189.5 |        0 |  189.4 | 189.45 |    556
     GN | 2023-02-07 15:34:00.000000+0000 |  189.7 |  189.7 |        0 |  189.6 |  189.6 |    189
     GN | 2023-02-07 15:35:00.000000+0000 | 189.85 | 189.95 |        0 | 189.85 | 189.85 |    628
     GN | 2023-02-07 15:36:00.000000+0000 |  190.2 |  190.2 |        0 | 189.95 | 189.95 |   3198
     GN | 2023-02-07 15:37:00.000000+0000 | 190.25 | 190.25 |        0 | 190.15 | 190.15 |    185
     GN | 2023-02-07 15:38:00.000000+0000 | 190.75 | 190.75 |        0 | 190.45 |  190.5 |   2261
     GN | 2023-02-07 15:40:00.000000+0000 | 190.75 | 190.75 |        0 | 190.55 | 190.55 |    147
     GN | 2023-02-09 11:01:00.000000+0000 |  169.9 |    170 |        0 |  169.7 |  169.7 |   5174
     GN | 2023-02-09 11:02:00.000000+0000 |  170.2 |  170.5 |        0 |    170 |    170 |   6421
     GN | 2023-02-09 11:03:00.000000+0000 |  170.2 |  170.3 |        0 | 170.15 |  170.3 |    372
     GN | 2023-02-09 11:04:00.000000+0000 |  169.9 |  170.5 |        0 |  169.9 |  170.5 |   3305
     GN | 2023-02-09 11:05:00.000000+0000 | 169.65 |    170 |        0 |  169.5 |    170 |    742
     GN | 2023-02-09 11:06:00.000000+0000 |  169.3 | 169.75 |        0 |  169.2 | 169.75 |   2366
     GN | 2023-02-09 11:07:00.000000+0000 | 169.75 | 169.85 |        0 | 169.05 | 169.25 |  13784
     GN | 2023-02-09 11:08:00.000000+0000 | 169.75 |    170 |        0 | 169.75 | 169.85 |   3433
     GN | 2023-02-09 11:09:00.000000+0000 |  169.1 |  169.7 |        0 |    169 | 169.65 |   4930
     GN | 2023-02-09 11:10:00.000000+0000 |    170 | 170.25 |        0 | 169.15 | 169.25 |  11704
     GN | 2023-02-09 11:11:00.000000+0000 | 170.05 |  170.1 |        0 | 169.75 |  170.1 |    800
     GN | 2023-02-09 11:12:00.000000+0000 |  169.9 |  169.9 |        0 |  169.7 | 169.85 |    668
     GN | 2023-02-09 11:13:00.000000+0000 | 169.85 |  169.9 |        0 | 169.85 |  169.9 |    350
     GN | 2023-02-09 11:14:00.000000+0000 |    170 |  170.3 |        0 | 169.85 | 169.85 |   6703
     GN | 2023-02-09 11:15:00.000000+0000 |  169.6 | 169.95 |        0 |  169.6 | 169.95 |   1403
     GN | 2023-02-09 11:16:00.000000+0000 |  169.2 | 169.35 |        0 | 168.85 | 169.15 |   4007
     GN | 2023-02-09 11:17:00.000000+0000 | 169.35 | 169.45 |        0 | 169.25 | 169.25 |    281
     GN | 2023-02-09 11:18:00.000000+0000 | 170.35 | 170.35 |        0 | 169.45 | 169.45 |   5597
     GN | 2023-02-09 11:19:00.000000+0000 | 170.05 | 170.25 |        0 |  169.5 | 170.25 |   1934
     GN | 2023-02-09 11:20:00.000000+0000 |  169.9 | 170.55 |        0 |  169.9 | 170.15 |   8812
     GN | 2023-02-09 11:21:00.000000+0000 |    170 |    170 |        0 |  169.8 |  169.8 |   1745
     GN | 2023-02-09 11:22:00.000000+0000 |    170 | 170.15 |        0 |  169.9 |  170.1 |   1855
     GN | 2023-02-09 11:24:00.000000+0000 |  169.4 | 169.95 |        0 |  169.4 | 169.95 |   2575
     GN | 2023-02-09 11:25:00.000000+0000 |  169.4 |  169.6 |        0 |  169.1 |  169.5 |    924
     GN | 2023-02-09 11:26:00.000000+0000 | 169.55 | 169.55 |        0 | 169.25 | 169.45 |   3219
     GN | 2023-02-09 11:27:00.000000+0000 | 169.45 | 169.45 |        0 |  169.3 | 169.45 |   1375
     GN | 2023-02-09 11:28:00.000000+0000 | 169.45 | 169.45 |        0 | 169.05 |  169.4 |   4375
     GN | 2023-02-09 11:29:00.000000+0000 |  169.5 |  169.6 |        0 |  169.4 |  169.4 |    600
     GN | 2023-02-09 11:30:00.000000+0000 | 169.35 | 169.45 |        0 |  169.3 | 169.45 |    996
     GN | 2023-02-09 11:31:00.000000+0000 |  169.5 |  169.5 |        0 | 168.75 | 169.25 |  12961
     GN | 2023-02-09 11:32:00.000000+0000 |  169.2 |  169.6 |        0 |  169.2 |  169.5 |   3329
     GN | 2023-02-09 11:33:00.000000+0000 |  168.8 | 169.35 |        0 | 168.35 |  169.3 |  12298
     GN | 2023-02-09 11:34:00.000000+0000 | 169.15 | 169.15 |        0 | 168.65 | 168.65 |   1568
     GN | 2023-02-09 11:35:00.000000+0000 |  168.8 |  169.2 |        0 |  168.7 |  168.8 |   2033
     GN | 2023-02-09 11:36:00.000000+0000 |  168.4 |  168.9 |        0 | 168.25 |  168.9 |   2988
     GN | 2023-02-09 11:37:00.000000+0000 |  168.2 |  168.4 |        0 | 167.55 |  168.4 |   9895
     GN | 2023-02-09 11:38:00.000000+0000 |  168.6 |  168.6 |        0 |  168.1 | 168.35 |   4878
     GN | 2023-02-09 11:39:00.000000+0000 | 168.35 | 168.55 |        0 | 168.35 |  168.5 |   1368
     GN | 2023-02-09 11:40:00.000000+0000 | 168.75 | 168.75 |        0 | 168.35 | 168.35 |   3215
     GN | 2023-02-09 11:41:00.000000+0000 |  168.4 | 168.65 |        0 |  168.4 |  168.6 |   1245
     GN | 2023-02-09 11:42:00.000000+0000 |  168.5 |  168.5 |        0 |  168.4 |  168.4 |   1753
     GN | 2023-02-09 11:43:00.000000+0000 | 167.75 | 168.55 |        0 |  167.3 | 168.35 |   7203
     GN | 2023-02-09 11:44:00.000000+0000 |  167.9 | 168.05 |        0 | 167.35 | 167.45 |   6109
     GN | 2023-02-09 11:45:00.000000+0000 | 168.15 | 168.15 |        0 |  167.8 | 167.95 |   3107
     GN | 2023-02-09 11:46:00.000000+0000 |  168.1 | 168.25 |        0 |  168.1 |  168.2 |   1515
     GN | 2023-02-09 11:47:00.000000+0000 |  168.3 |  168.4 |        0 |  168.3 |  168.4 |     55
     GN | 2023-02-09 11:48:00.000000+0000 |  168.1 | 168.45 |        0 |  167.8 | 168.45 |   4294
     GN | 2023-02-09 11:49:00.000000+0000 | 168.15 | 168.25 |        0 |  167.7 | 168.25 |   5436
     GN | 2023-02-09 11:50:00.000000+0000 | 168.35 | 168.35 |        0 |    168 | 168.15 |   2413
     GN | 2023-02-09 11:51:00.000000+0000 |  168.5 |  168.7 |        0 |  168.4 |  168.5 |   1574
     GN | 2023-02-09 11:52:00.000000+0000 |  168.3 |  168.4 |        0 |  168.1 | 168.35 |    363
     GN | 2023-02-09 11:53:00.000000+0000 |  168.3 |  168.3 |        0 |  168.2 |  168.2 |    397
 ORSTED | 2023-02-07 15:22:00.000000+0000 |  641.8 |  642.1 |        0 |  641.8 |  642.1 |     60
 ORSTED | 2023-02-07 15:23:00.000000+0000 |  641.3 |  641.5 |        0 |  641.2 |  641.3 |    495
 ORSTED | 2023-02-07 15:24:00.000000+0000 |  641.4 |  641.4 |        0 |    641 |  641.3 |    342
 ORSTED | 2023-02-07 15:25:00.000000+0000 |  641.1 |  641.5 |        0 |  640.9 |  641.1 |    323
 ORSTED | 2023-02-07 15:26:00.000000+0000 |  641.1 |  641.3 |        0 |  640.9 |  640.9 |    423
 ORSTED | 2023-02-07 15:27:00.000000+0000 |  641.3 |  641.8 |        0 |  641.1 |  641.1 |    806
 ORSTED | 2023-02-07 15:28:00.000000+0000 |    641 |  641.3 |        0 |    641 |  641.3 |    775
 ORSTED | 2023-02-07 15:29:00.000000+0000 |  640.4 |    641 |        0 |  640.4 |  640.9 |   1270
 ORSTED | 2023-02-07 15:30:00.000000+0000 |  640.6 |  640.6 |        0 |  640.2 |  640.3 |    620
 ORSTED | 2023-02-07 15:31:00.000000+0000 |  640.5 |  640.5 |        0 |  640.3 |  640.4 |    158
 ORSTED | 2023-02-07 15:32:00.000000+0000 |  640.9 |  641.2 |        0 |  640.5 |  640.5 |    646
 ORSTED | 2023-02-07 15:33:00.000000+0000 |  640.8 |    641 |        0 |  640.8 |  640.9 |    549
 ORSTED | 2023-02-07 15:34:00.000000+0000 |  640.9 |  641.3 |        0 |  640.6 |  640.6 |    376
 ORSTED | 2023-02-07 15:35:00.000000+0000 |    641 |  641.3 |        0 |    641 |  641.1 |    508
 ORSTED | 2023-02-07 15:36:00.000000+0000 |  641.6 |  641.6 |        0 |    641 |    641 |    752
 ORSTED | 2023-02-07 15:37:00.000000+0000 |  642.1 |  642.3 |        0 |  641.8 |  641.8 |    464
 ORSTED | 2023-02-07 15:38:00.000000+0000 |  642.4 |  642.7 |        0 |  642.3 |  642.3 |    192
 ORSTED | 2023-02-09 11:01:00.000000+0000 |  643.3 |  643.3 |        0 |  642.5 |  642.6 |    844
 ORSTED | 2023-02-09 11:02:00.000000+0000 |  643.1 |  643.3 |        0 |  643.1 |  643.3 |    112
 ORSTED | 2023-02-09 11:06:00.000000+0000 |  642.7 |  642.9 |        0 |  642.4 |  642.4 |    255
 ORSTED | 2023-02-09 11:07:00.000000+0000 |  642.4 |  642.4 |        0 |  642.4 |  642.4 |    300
 ORSTED | 2023-02-09 11:08:00.000000+0000 |  642.3 |  642.3 |        0 |  642.3 |  642.3 |    204
 ORSTED | 2023-02-09 11:09:00.000000+0000 |  642.5 |  642.5 |        0 |  642.5 |  642.5 |    100
 ORSTED | 2023-02-09 11:11:00.000000+0000 |  642.9 |  642.9 |        0 |  642.8 |  642.8 |     91
 ORSTED | 2023-02-09 11:12:00.000000+0000 |  642.6 |    643 |        0 |  642.6 |    643 |    273
 ORSTED | 2023-02-09 11:13:00.000000+0000 |  642.4 |  642.4 |        0 |  642.4 |  642.4 |     37
 ORSTED | 2023-02-09 11:15:00.000000+0000 |  642.4 |  642.5 |        0 |  641.9 |    642 |   1245
 ORSTED | 2023-02-09 11:16:00.000000+0000 |  642.8 |  642.8 |        0 |  642.6 |  642.6 |     69
 ORSTED | 2023-02-09 11:17:00.000000+0000 |  643.1 |  643.3 |        0 |  643.1 |  643.2 |    145
 ORSTED | 2023-02-09 11:19:00.000000+0000 |  642.8 |  642.9 |        0 |  642.8 |  642.9 |    127
 ORSTED | 2023-02-09 11:20:00.000000+0000 |  642.9 |  642.9 |        0 |  642.9 |  642.9 |    142
 ORSTED | 2023-02-09 11:21:00.000000+0000 |  642.5 |  642.7 |        0 |  642.5 |  642.7 |     64
 ORSTED | 2023-02-09 11:22:00.000000+0000 |  642.7 |  642.7 |        0 |  642.6 |  642.6 |     64
 ORSTED | 2023-02-09 11:23:00.000000+0000 |  642.6 |  642.9 |        0 |  642.4 |  642.4 |     38
 ORSTED | 2023-02-09 11:25:00.000000+0000 |  642.3 |  642.3 |        0 |  642.2 |  642.3 |     76
 ORSTED | 2023-02-09 11:27:00.000000+0000 |  642.6 |  642.7 |        0 |  641.8 |  642.7 |   1059
 ORSTED | 2023-02-09 11:28:00.000000+0000 |  642.3 |  642.4 |        0 |  642.2 |  642.4 |    137
 ORSTED | 2023-02-09 11:30:00.000000+0000 |  642.4 |  642.7 |        0 |  642.4 |  642.4 |     64
 ORSTED | 2023-02-09 11:32:00.000000+0000 |    643 |    643 |        0 |  642.8 |  642.8 |    263
 ORSTED | 2023-02-09 11:33:00.000000+0000 |    643 |  643.2 |        0 |    643 |  643.2 |     67
 ORSTED | 2023-02-09 11:36:00.000000+0000 |  642.8 |  643.1 |        0 |  642.8 |  643.1 |    188
 ORSTED | 2023-02-09 11:38:00.000000+0000 |    643 |    643 |        0 |  642.8 |  642.8 |     41
 ORSTED | 2023-02-09 11:39:00.000000+0000 |  643.4 |  643.4 |        0 |  643.2 |  643.2 |    155
 ORSTED | 2023-02-09 11:40:00.000000+0000 |  643.5 |  643.5 |        0 |  643.5 |  643.5 |     26
 ORSTED | 2023-02-09 11:41:00.000000+0000 |  643.3 |  643.6 |        0 |  643.3 |  643.6 |    299
 ORSTED | 2023-02-09 11:42:00.000000+0000 |  643.2 |  643.2 |        0 |  643.2 |  643.2 |     13
 ORSTED | 2023-02-09 11:43:00.000000+0000 |  643.5 |  643.5 |        0 |    643 |    643 |    140
 ORSTED | 2023-02-09 11:46:00.000000+0000 |  643.2 |  643.2 |        0 |  643.2 |  643.2 |    131
 ORSTED | 2023-02-09 11:48:00.000000+0000 |    643 |    643 |        0 |    643 |    643 |     18
 ORSTED | 2023-02-09 11:50:00.000000+0000 |  643.4 |  643.4 |        0 |  643.3 |  643.3 |    217
 ORSTED | 2023-02-09 11:52:00.000000+0000 |  643.3 |  643.3 |        0 |  643.3 |  643.3 |      5
 ORSTED | 2023-02-09 11:53:00.000000+0000 |  643.7 |  643.8 |        0 |  643.3 |  643.3 |   4090
    VWS | 2023-02-07 15:21:00.000000+0000 | 199.46 | 199.46 |        0 |  199.3 |  199.3 |   1223
    VWS | 2023-02-07 15:22:00.000000+0000 | 199.38 |  199.5 |        0 | 199.38 |  199.5 |    939
    VWS | 2023-02-07 15:23:00.000000+0000 | 199.22 | 199.32 |        0 |  199.2 | 199.32 |    999
    VWS | 2023-02-07 15:24:00.000000+0000 | 199.18 | 199.18 |        0 | 199.06 | 199.06 |   1481
    VWS | 2023-02-07 15:25:00.000000+0000 | 199.34 | 199.34 |        0 | 199.18 | 199.18 |   3267
    VWS | 2023-02-07 15:26:00.000000+0000 | 199.66 | 199.66 |        0 | 199.38 | 199.38 |    695
    VWS | 2023-02-07 15:27:00.000000+0000 |  199.4 | 199.68 |        0 |  199.4 | 199.68 |   1945
    VWS | 2023-02-07 15:28:00.000000+0000 | 199.52 | 199.52 |        0 | 199.34 | 199.36 |   3827
